Subject,Count
h.i.v.e (imaginary organization),3
remote submersibles,3
motion pictures,3
speech synthesis,3
self-help,3
services web,3
enseignement supérieur,3
career & trade -> computer science -> user interfaces,3
réseau neuronal,3
systèmes biologiques,3
insects,3
medical-general,3
medical equipment & techniques,3
medical / nursing,3
atomic bomb,3
ocular vision,3
neural pathways,3
halo (game),3
entscheidungsunterstützungssystem,3
pop (langage de programmation),3
modern ethics,3
morale,3
cyberpunk,3
collections & anthologies,3
robopsychology,3
investment finance,3
fiction / thrillers,3
geschichte,3
general theory of computing,3
prise de decision,3
neurocomputer,3
database engineering,3
algebraic geometry,3
ren gong zhi neng,3
benutzerorientierung,3
chemical detectors,3
calculus of tensors,3
probabilistic automata,3
modelling,3
adaptability (psychology),3
biological evolution,3
etc.,3
évolution,3
spies,3
international security,3
management - general,3
french,3
educational innovations,3
perception visuelle,3
datensicherung,3
biometrie,3
authorship,3
speculative fiction,3
soldiers,3
space,3
philosophy & social aspects,3
génie cognitif,3
computersicherheit,3
collected works,3
renewable and green energy,3
logic circuits,3
information theory in psychology,3
automatic programming (computer science),3
decision-making,3
apple ii (computer),3
buildings,3
traitement de l',3
chez l'homme,3
systèmes flous,3
neurologie,3
petri nets,3
computer books: operating systems,3
représentation des (intelligence artificielle),3
cryonics,3
jurisprudence & general issues,3
data base management systems,3
public,3
right of privacy,3
digital communication,3
biomedical,3
lasers in medicine,3
language development,3
logistics,3
invariants,3
acquisition,3
industry,3
(incl.internet),3
philosophy & religion,3
technologie éducative,3
tutoriels,3
sprache,3
spracherwerb,3
théorie des,3
dynamic programming,3
psychologie de l'apprentissage,3
wahrnehmung,3
emoties,3
verstand,3
esprit,3
teaching,3
internet industry,3
distributed cognition,3
lichaam en geest,3
système base connaissance,3
modélisation,3
language arts,3
netzwerktopologie,3
historical,3
operating systems,3
datenbank,3
symbolic and mathematic,3
applications of computing,3
esprit et corps,3
langage et langues,3
pragmatics,3
androids -- fiction,3
organizational effectiveness,3
industry 4.0.,3
industrie 4.0.,3
komplexitätstheorie,3
truth maintenance systems,3
video game characters,3
neuropsychologie,3
smart cities,3
villes intelligentes,3
health,3
kinesiology,3
persons (law),3
animal rights,3
watson (computer),3
scanning,3
computers / computer engineering,3
mechanical engineering - general,3
digital integrated circuits,3
gene expression profiling,3
medical ethics,3
informatica,3
natuurwetenschappen,3
synaptic transmission,3
sociologie de la connaissance,3
library science,3
numerical calculations,3
logisch programmeren,3
turing (fictitious character),3
washington (d.c.),3
escher,3
m. c. (maurits cornelis),3
monte carlo method,3
self-consciousness (awareness),3
monetary policy,3
medical radiography,3
english literature,3
individuality,3
identity (philosophical concept),3
behavior,3
orphans,3
internetworking (telecommunication),3
deep learning,3
hopper,3
artificial intelligence -- social aspects,3
objektorientierte programmierung,3
réalité virtuelle,3
fiction / science fiction / adventure,3
cars,3
technique de la production,3
technology / operations research,3
entrepreneurship,3
french language,3
rosie (computer system),3
cerebral cortex,3
immunological models,3
local and light railroads,3
phonetics,3
strategy,3
fiction / literary,3
epidemics,3
career & trade -> computer science -> special topics,3
work design,3
affective computing,3
théorie des jeux,3
statistical decision,3
multimédia,3
cognitieve psychologie,3
sensors,3
adventure,3
mathematical & statistical software,3
electronic equipment,3
systèmes adaptatifs (informatique),3
stock exchanges,3
deontic logic,3
educational change,3
curves,3
rationalism,3
graphics applications,3
recommender systems (information filtering),3
family life,3
computer organization,3
complexity (philosophy),3
democracy,3
telematics,3
biomedicine general,3
teenagers with visual disabilities,3
public policy,3
sorting (electronic computers),3
outer space,3
science (general),3
ensembles flous,3
object-oriented programming,3
fossil fuels,3
regional planning,3
object-oriented databases,3
software tools,3
truth,3
propositional calculus,3
theoremes,3
unsicherheit,3
approximation,3
medical logic,3
dna,3
war,3
interviews,3
conception assistée par ordinateur,3
control systems design,3
petroleum,3
sequence analysis,3
aspect politique,3
valuation,3
petroleum engineering,3
architecture et technologie,3
inspection,3
software design,3
administrative agencies,3
systèmes informatiques,3
developing countries,3
artificial satellites,3
kalman filtering,3
electronic trading of securities,3
computer books: languages,3
japan,3
hydraulic engineering,3
raisonnement (informatique),3
health sciences,3
nursing health sciences,3
aides fonctionnelles (médecine physique),3
social evolution,3
word processing,3
posthumanism,3
conflict management,3
actuators,3
telemedizin,3
formbeschreibung,3
augenfolgebewegung,3
discrete-time systems,3
cyborg,3
vocational qualifications,3
self-help devices,3
langages formels,3
business & economics / information management,3
italian language,3
aims and objectives,3
college graduates,3
organizational change,3
cross-language information retrieval,3
mind & body,3
schreitroboter,3
kernel functions,3
computers - other applications,3
schemas (psychology),3
electric power system stability,3
informatik,3
productique,3
men's adventure,3
(incl. internet),3
demonstration automatique,3
computerized simulation,3
computer systems design,3
computers / computer science,3
functions,3
our brockhaus selection,3
utopias,3
observation (scientific method),3
japon,3
prospective,3
reseaux d'ordinateurs,3
entreprises,3
art and computers,3
weapons,3
practice of law,3
world war,3
1939-1945,3
grading and marking (students),3
r (langage de programmation),3
science and state,3
turing machines,3
virtual reality in management,3
applied mathematics,3
military,3
kunstig intelligens,3
wittgenstein,3
ludwig,3
1889-1951,3
cognitive learning theory,3
materials science,3
electronic information resources,3
special collections,3
rdf,3
sciences sociales,3
creative ability in business,3
physical measurements,3
internet auctions,3
data processing - general,3
robots in motion pictures,3
optimisation mathématique,3
production/logistics/supply chain management,3
installations (art),3
boolean,3
recycling (waste,3
computer network protocols,3
turing hopper (fictitious character),3
nuclear industry,3
intelligentes netz,3
computers / natural language processing,3
génie biomédical,3
new media art,3
gestion des connaissances,3
measurement,3
values,3
industrieroboter,3
algebraic,3
analysis (philosophy),3
life (biology),3
berechenbarkeit,3
konnektionismus,3
administration,3
softwareplattform,3
humans,3
spirit,3
estimation theory,3
probability,3
philosophy of technology,3
informatics,3
metacognition,3
prediction (logic),3
bewusstsein,3
television,3
python (langage de programmation),3
inferenz (künstliche intelligenz),3
gefühl,3
biotechnologie,3
novela,3
vehicles,3
dynamical systems,3
atomic & molecular physics,3
sat (educational test),3
differential,3
hypertext systems,3
interactive & multimedia,3
genetische algoritmen,3
reconnaissance optique des formes (informatique),3
dialogsystem,3
machines intelligentes,3
time perception,3
ordered algebraic structures,3
mathematical and computational biology,3
ibm personal computer,3
sinclair ql (computer),3
negotiation in business,3
neurobiologie,3
human capital,3
marché du travail,3
technology / robotics,3
technology / telecommunications,3
robotics in sports,3
order,3
lattices,3
renewable energy,3
fingerprints,3
lexicology,3
cs.cmp_sc.app_sw,3
soziales netzwerk,3
system failures (engineering),3
phenomenology,3
time-series analysis,3
suffering,3
color,3
pharmacology,3
polyglot,3
cam,3
zoology,3
medical telematics,3
réseaux neuronaux (neurobiologie),3
financial institutions,3
test de turing,3
optoelectronics,3
anatomy,3
visual communication,3
ambiguity,3
microeconomics,3
computational logic,3
international cooperation,3
translating and interpreting,3
aggregation operators,3
career & trade -> computer science -> operating systems,3
protection,3
portfolio management,3
teaching machines,3
sociology of,3
modern art,3
concept formation,3
philosophy of psychology,3
connectionisme,3
computers &amp; internet,3
intelligent transportation systems,3
motors,3
death,3
avionics,3
discrete mathematics,3
artificial languages,3
acquisition des connaissances (systèmes experts),3
digital image processing,3
politique gouvernementale,3
media studies,3
japanese fiction,3
ethics of artificial intelligence,3
human-robot relations,3
raisonnement par cas,3
selenium,3
content analysis (communication),3
business networks,3
multimodal user interfaces (computer systems),3
hyperspace,3
psychology / cognitive psychology,3
transmission sans fil,3
mathematics / applied,3
morality,3
identification biométrique,3
linguistique,3
metaheuristik,3
perception des structures,3
women mathematicians,3
three laws of robotics,3
business & economics / finance,3
the ender quintet,3
space-based solar power,3
emploi,3
labor,3
economic conditions,3
sécurité,3
sign language,3
structural linguistics,3
war games,3
children's stories,3
ender wiggin (fictitious character),3
brothers and sisters,3
ciencia-ficción,3
real-time programming,3
microwaves,3
kinematics,3
interaktive medien,3
environmental economics,3
database management - general,3
directories,3
data capture & analysis,3
statistics as topic,3
psychophysiology,3
verteiltes system,3
theorie de l',3
power resources,3
electronic encyclopedias,3
turbo prolog (computer program),3
unterstützungssystem (informatik),3
positronic brains,3
expectation (philosophy),3
abfrageverarbeitung,3
training of,3
cell phone systems,3
frage-antwort-system,3
digital storytelling,3
charakter,3
heisenbugs,3
asteroids,3
shahada,3
science-fiction-literatur,3
award:nebula_award=novel,3
hegemony,3
information retrieval-systemen,3
military education,3
constitutional law,2
inférence,2
resurrection,2
information superhighway,2
stochastic analysis,2
agricultural innovations,2
parallel processing,2
buddhism,2
work,2
chinese fiction,2
rationalität,2
projective,2
manpower policy,2
fallbasiertes schlie©en,2
taaltechniek,2
émotions,2
military robots,2
memory (computers),2
high technology,2
matérialisme,2
father-daughter relationship,2
theoretical,2
z (computer program language),2
programmable controllers,2
power (mechanics),2
interacción hombre-computadora,2
electronic industries,2
kreativität,2
massachusetts institute of technology. libraries,2
sports medicine,2
tennis,2
3207,2
computational science and engineering,2
nanoscale science and technology,2
viruses,2
india,2
sozialwissenschaften,2
natural language & machine translation,2
wavelets (mathematics),2
3206,2
household electronics,2
career & trade -> computer science -> information technology,2
sci18040,2
metadaten,2
berechnungstheorie,2
fiction / thrillers / technological,2
technology -- social aspects,2
ants,2
goedel's theorem,2
computermodellen,2
synchronization,2
science / chemistry / general,2
scientific applications,2
abfrage,2
bildverstehen,2
autorensystem,2
rollenspiel,2
narration,2
inconsistency (logic),2
schlussfolgern,2
dienstgüte,2
metals,2
defects,2
microelectromechanical systems,2
composite materials,2
innovation,2
structural optimization,2
wisdom,2
erzählen,2
steel industry and trade,2
free will and determinism,2
artificial satellites in telecommunication,2
theater,2
packet switching (data transmission),2
occam (computer program language),2
sociobiology,2
creativiteit,2
electric motors,2
military research,2
artificial intelligence--medical applications,2
kidnapping,2
interfaces utilisateur (informatique),2
creative writing,2
nanotechnology -- fiction,2
recollection (psychology),2
criminology & criminal justice,2
accidents,2
experience,2
raisonnement (psychologie),2
emotion recognition,2
capital investments,2
technology: general issues,2
purr-puss,2
electric equipment,2
writing,2
inferenz,2
enterprise application integration (computer systems),2
conduct of life,2
production of electric energy or power,2
contract bridge,2
human locomotion,2
modellgetriebene entwicklung,2
abfragesprache,2
wissensrevision,2
science / philosophy & social aspects,2
social values,2
social research & statistics,2
group decision making,2
business & economics / economics / general,2
alternative medicine,2
atlases,2
holistic medicine,2
osteopathy,2
intelligence artificielle repartie,2
technological complexity,2
mathematische modellierung,2
circuit neuronique,2
infotainment,2
business & economics / economic conditions,2
computers / security / general,2
computers / software development & engineering / general,2
diagnostics,2
avatars (virtual reality),2
science / environmental science,2
holism,2
kennisverwerving,2
internet - general,2
homo sapiens (species),2
categories (mathematics),2
réseau neuronal (informatique),2
autonomy,2
censorship,2
dreidimensionale computergraphik,2
monsters,2
projekt lilog,2
liaden universe (imaginary place),2
equipment,2
comparative literature,2
modern philosophy,2
remote control,2
télématique médicale,2
united states. defense advanced research projects agency,2
automobile driving,2
musical notation,2
large scale integration,2
robotteknik,2
sociala aspekter,2
besluitvorming,2
competition,2
engineering prototypes,2
military readiness,2
power electronics,2
optoelectronic devices,2
model-driven software architecture,2
benutzermodell,2
spock (fictitious character),2
digitalisierung,2
multimedia information systems,2
success in business,2
godel's theorem,2
gödel's theorem,2
institutions financières,2
rechtsinformatik,2
economic forecasting,2
constraint-programmierung,2
history of science,2
subject access,2
automatic indexing,2
industrial robotics,2
c 1990 to c 2000,2
génétique,2
pharmaceutical industries,2
impact of science & technology on society,2
life change events,2
clothing trade,2
electrical & computer engineering,2
westworld (television program),2
career & trade -> computer science -> general,2
web programming,2
internal,2
in literature,2
finite element method,2
self-organizing maps,2
traitement des données,2
agent (philosophy),2
kommunikation,2
psykologiska aspekter,2
réseaux sociaux (internet),2
family & relationships,2
génie industriel,2
analyse d'images,2
medical laboratory science,2
immortalism,2
chinese,2
empfehlungssystem,2
internal auditing,2
materials treatment operating procedures,2
abstracts,2
résumés analytiques,2
linguistic models,2
scientific datalink,2
1963-,2
systems architecture,2
psychological aspects of electronic data processing,2
attitude to computers,2
robots in literature,2
cognitive radio networks,2
human activity recognition,2
intention,2
human robot interaction,2
information behavior,2
graphische benutzeroberfläche,2
edutainment,2
micai,2
c (computer program language),2
military surveillance,2
vision par ordinateur en médecine,2
bases de données sur le web,2
comparative law,2
mobile & wireless communications,2
technology / electronics / circuits / general,2
general studies,2
the,2
applied linguistics,2
earth sciences,2
home care,2
kasparov,2
g. k. (garri kimovich),2
artificial satellites in remote sensing,2
artificial intelligence--social aspects,2
artificial intelligence--philosophy,2
003/.54,2
serendipity,2
films for the hearing impaired,2
environmental monitoring,2
collective behavior,2
scheme (computer program language),2
industrial equipment,2
machines,2
matlab,2
web semantique,2
electronic mail messages,2
computers - communications / networking,2
théorie quantique,2
gödelscher unvollständigkeitssatz,2
assembly-line methods,2
optics (light),2
computer books and software,2
biographies,2
amateurs' manuals,2
social history,2
communication studies,2
debugging in computer science,2
grammaire comparée et générale,2
taalpsychologie,2
sequential analysis,2
prediction theory,2
consciousness in animals,2
securities industry,2
strong ai,2
health informatics,2
rechnernetz,2
musical analysis,2
monitoring,2
correlation (statistics),2
compréhension,2
programmation évolutive,2
computing and information technology,2
robotic pets,2
prospecting,2
intellectual life,2
histoire et critique,2
sumex-aim (computer system),2
industrial electronics,2
robot industry,2
heuristic,2
moral and ethical aspects of artificial intelligence,2
computers-artificial intelligence - general,2
bewegungsanalyse <technik>,2
energieeffizienz,2
simulated annealing (mathematics),2
bipedie,2
law and ethics,2
criticism and interpretation,2
water treatment plants,2
scientific satellites,2
operative,2
automatische sprachproduktion,2
consumer behavior,2
hms <fertigung>,2
motor ability,2
earthquake engineering,2
seismology,2
marketing sur internet,2
internet marketing,2
theory of mind,2
perceptual-motor learning,2
cognition in children,2
soziologie,2
metadonnees,2
commodore 64 (computer),2
programacao de computadores,2
military robotics,2
debates and debating,2
los angeles (calif.). police department,2
atmospheric physics,2
sabotage,2
middle schools,2
environmental management,2
philosophie et sciences cognitives,2
procurement,2
sociolinguistics,2
electronic intelligence,2
ordinateur 5e génération,2
etats-unis,2
los angeles (calif.).,2
linguistic analysis (linguistics),2
translating,2
computer aided manufacture (cam),2
polygons,2
proteomics,2
formalization (linguistics),2
football association,2
theological anthropology,2
representations of groups,2
acorn electron,2
raisonnement non monotone,2
incertitude,2
open source,2
value-added networks (computer networks),2
mine accidents,2
theorie de la preuve,2
pharmacy,2
genetic regulation,2
information technology industries,2
genie cognitif,2
heart diseases,2
logique floue,2
computer graphics - general,2
miscellaneous software,2
bbc micro,2
agricultural industries,2
risk (insurance),2
kontextbezogenes system,2
museums,2
singularity,2
soul,2
lokalisierung (robotik),2
motion capturing,2
databanken,2
text editors (computer programs),2
appl. mathematics/computational methods of engineering,2
flood control,2
planejamento da produção,2
computers and it,2
plague,2
alternative history,2
political science / political freedom & security / international security,2
military intelligence,2
political science / political freedom & security / intelligence,2
intuition,2
genie logiciel,2
parapsychology,2
artificial intelligence -- data processing,2
ergonomics/human engineering,2
political freedom & security,2
raisonnement probabiliste,2
waarschijnlijkheidstheorie,2
vl21 system,2
yapay zeka,2
agency (law),2
control system,2
biomedicine,2
business & economics / statistics,2
data,2
object-oriented data bases,2
condensed matter physics (liquids & solids),2
exploration of outer space,2
wavelet analysis,2
legal aspects of computing,2
gestion de crise,2
robot arms,2
consat,2
surveillance radar,2
applied mechanics,2
physical,2
electronic data interchange,2
engineering and science,2
ontologie,2
electronic data processing departments,2
data centers,2
computers / social aspects / human-computer interaction,2
architecture / study & teaching,2
special education,2
video surveillance,2
board,2
réforme,2
biomechanical phenomena,2
lokalisierung <robotik>,2
database management systems,2
electronic government information,2
secrecy,2
fiction / suspense,2
local and light,2
materials handling,2
safety and risk,2
rockets (aeronautics),2
radiotherapy,2
hostages,2
kybernetik,2
broadband communication systems,2
processus de markov,2
capitalism,2
algebraische spezifikation,2
knowledge representation (info,2
science / general,2
aprendizado computacional,2
secret societies,2
short stories (single author),2
processor architectures,2
digital control systems,2
développement économique,2
political participation,2
optical detectors,2
educational planning,2
demographic aspects,2
war and education,2
enseignement,2
marketing applications,2
computers & technology,2
socialization,2
entretiens,2
computer-aided designs (visual works),2
humorous stories,2
biowissenschaften,2
datorsimulering,2
unemployment,2
mappings (mathematics),2
bandes dessinées,2
androïdes,2
unternehmen,2
controllers,2
organized crime,2
knowledge-based computing,2
travel,2
real property,2
oligonucleotide array sequence analysis,2
network-centric operations (military science),2
creative ability in technology,2
theories of law,2
legal history,2
agricultural machinery,2
automatic control equipment industry,2
dialogue in motion pictures,2
reality,2
machinery and machine elements,2
electric railroads,2
data science,2
organic compounds,2
central planning,2
chemical structure,2
clinical decision support systems,2
applied artificial intelligence,2
fiction / dystopian,2
congre  s.,2
electric filters,2
genetische programmierung,2
electric power transmission,2
bioethics,2
wissensbanksystem,2
mathematical computing,2
anthropometry,2
relationism,2
indexing,2
product life cycle,2
product management,2
big data -- social aspects,2
language arts & disciplines / communication,2
facteurs humains,2
épidémiologie,2
neuroinformatics,2
child and youth fiction,2
maths for computer scientists,2
browsers (computer programs),2
functional programming languages,2
experiments,2
logique mathématique,2
law / general,2
zukunft,2
sociale aspecten,2
informatietechnologie,2
gedrag,2
fiction / science fiction / hard science fiction,2
medical innovations,2
blood pressure,2
bbc microcomputer,2
explorers,2
lymph nodes,2
pathology,2
cognitive learning,2
interactive video,2
baseball,2
social control,2
human rights,2
cockpits,2
planung,2
compréhension langage naturel,2
jeu échecs,2
c 1980 to c 1990,2
mass media and culture,2
culture populaire,2
cultural policy,2
cultural,2
three-dimensional,2
personal communication service systems,2
semantisch web,2
science fiction & fantasy,2
raspberry pi (computer),2
universities and colleges,2
nichtmonotones schlie©en,2
network control,2
business & economics / marketing / general,2
fusion,2
computerunterstütztes lernen,2
business/economics,2
social aspects of information technology,2
web 2.0.,2
brain-computer interfaces,2
witnesses,2
aging,2
wissenschaftsphilosophie,2
waarneming,2
amusements,2
government information,2
beweistheorie,2
cluster-analyse,2
world wide web 2.0,2
electron microcomputer,2
electronics & communications engineering,2
speculative philosophy,2
technology / engineering / industrial,2
transport,2
technology / electricity,2
information display systems,2
political,2
stocks,2
netl (computer system),2
programm,2
health promotion,2
extraterrestrial beings -- fiction,2
air traffic control,2
recherche documentaire,2
military policy,2
applications militaires,2
programmed instruction,2
geriatrics,2
critisim,2
tests et mesures en education,2
computerunterstutzter unterricht,2
god,2
micro-prolog (computer program language),2
google,2
facebook (electronic resource),2
social science / future studies,2
technische innovation,2
task performance and analysis,2
lernpsychologie,2
leren,2
femmes,2
medical / biotechnology,2
psychanalyse,2
defense mechanisms (psychology),2
interactive videos,2
technologie educative,2
computerunterstutztes lernen,2
psychological theory,2
psychologie de l',2
genres & styles,2
dahleh,2
psycholinguistik,2
social perception,2
mohammed a,2
authentifikation,2
classical,2
recycling,2
collapse,2
civilization collapse,2
environmental aspects of wind turbines,2
wind turbines,2
oil sands,2
oil sands industry,2
oil sands extraction plants,2
environmental aspects of oil sands extraction plants,2
electric car,2
netzwerkverwaltung,2
psychology and philosophy,2
communication of technical information,2
suco11647,2
7147,2
sci18067,2
microgravity,2
climate change mitigation,2
desertification,2
ecosystem management,2
endangered ecosystems,2
primitivism,2
deep ecology,2
systems disruption,2
luddites,2
nuclear reactors,2
5373,2
fuzziness,2
sct11022,2
diagnostic,2
programming (electronic computers),2
investment analysis,2
assets (accounting),2
prices,2
sociale interactie,2
rocks,2
algorithmische lerntheorie,2
failure modes,2
dictionnaires français,2
anglais (langue),2
français (langue),2
structural analysis,2
micromechanics,2
sociale netwerken,2
breast,2
teleportation,2
oncology,2
personality,2
technische ontwikkeling,2
leib-seele-problem,2
jurisprudence & philosophy of law,2
business software - general,2
dictionnaires,2
atomic power,2
hybrid electric cars,2
méthodes de,2
allied health services - medical technology,2
mehrrobotersystem,2
gays,2
entwicklung,2
law offices,2
examinations,2
303.48/34,2
technology & engineering / general,2
hydro-electric power plants,2
water-power,2
water pollution,2
alternative & renewable energy sources & technology,2
technology & engineering / power resources / alternative & renewable,2
permaculture,2
umwelt,2
self-control,2
self-reliance,2
decision making & problem solving,2
system identification,2
football,2
fairy tales,2
peak oil,2
forests and forestry,2
lng,2
northstream pipeline,2
agriculture alternative,2
hydrogen as fuel,2
coal mines and mining,2
soil conservation,2
mathematics education,2
disruptive technologies,2
biologisches system,2
intelligence officers,2
ocean,2
ocean temperature,2
offshore oil well drilling,2
oil well drilling,2
data processing - optical data processing,2
heterogeneous computing,2
english science fiction,2
sven tveskoeg (fictitious character),2
teleology,2
künstliche evolution,2
systèmes,2
causality (physics),2
android,2
eye,2
computer managed instruction,2
extranets (computer networks),2
hedging (finance),2
environmental impact analysis,2
jeu,2
futur,2
hydroelectric power plants,2
act (philosophy),2
british and irish fiction (fictional works by one author),2
love,2
computers / computer graphics / game programming & design,2
jeux vidéo,2
axiomatic set theory,2
fuzzy-logisches schliessen,2
renewable energy resources,2
carbon sequestration,2
atmospheric carbon dioxide,2
green movement,2
green revolution,2
solar energy,2
wind energy technology,2
wind power,2
electricity,2
energy consumption,2
apprentissage par renforcement (intelligence artificielle),2
united states. national aeronautics and space administration,2
latin inscriptions,2
roman antiquities,2
paleography,2
minimum description length (information theory),2
total quality management,2
wissenschaftstheorie,2
erkenntnistheorie,2
qualitative research,2
open_syllabus_project,2
documentation,2
sistemas especialistas,2
mentale representatie,2
mensen,2
video game tie-ins,2
computing,2
human intelligence,2
intelligent machines,2
prediction,2
spirituality,2
toekomstverwachtingen,2
parallelverarbeitung,2
parallelle verwerking,2
unendlichkeit,2
infinite,2
sociological aspects,2
instrumentation,2
war & military,2
erkenntnis,2
neurofisiologia,2
réseaux nerveux,2
encéphale,2
128/.2,2
disasters,2
language arts & disciplines / linguistics,2
sciences de la vie,2
online identities,2
filosofía,2
timetables,2
rolling stock,2
neurolinguistics,2
immunoinformatics,2
sequential machine theory,2
fiction / technological,2
literary,2
interstellar communication,2
toronto (ont.),2
canada,2
life sciences - biology - general,2
semantisches netz,2
bildbanksystem,2
memetischer algorithmus,2
monoclonal antibodies,2
wooden tablets,2
error detection codes,2
fault detection,2
vindolanda tablets,2
chatbot,2
high technology industries,2
commando troops,2
young adult,2
psychiatry and psychology,2
electronic circuits,2
expert system (computer science),2
group theory,2
art and science,2
verifikation,2
filosofie,2
gödel,2
explication,2
automatisering,2
impact of computing & it on society,2
philosophy / general,2
life on other planets -- fiction,2
interplanetary voyages -- fiction,2
autonomous systems,2
psychological phenomena and processes,2
résolution problème,2
acquisition connaissance,2
paranoia,2
technological aspects,2
conservatism,2
intelligence tests,2
base connaissance,2
explanation,2
environmental quality,2
generators (computer programs),2
mechanical equipment,2
concept learning,2
methodologie,2
methode,2
social aspects of science,2
heuristique,2
electronics - semiconductors,2
video,2
bach,2
johann sebastian,2
1685-1750,2
1898-1972,2
maths,2
kurt,2
robust control,2
modeles mathematiques,2
bibliotheques,2
services de documentation,2
performance tests,2
air pilots,2
electronics engineering,2
metal oxide semiconductors,2
global differential geometry,2
memoire,2
educational leadership,2
programmeertalen,2
sanskrit language,2
college teachers,2
study and teaching (higher),2
biophysics/biomedical physics,2
congresses..,2
programmanalyse,2
aggregationsoperator,2
optical computers,2
construction industry,2
cad,2
begriffsgraph,2
society & cyberculture,2
théorie féministe,2
psychologie cognitive,2
programmverifikation,2
description logics,2
inteligencia,2
experimental psychology,2
electronic control,2
optical materials,2
investments & securities - general,2
organizational sociology,2
memory management (computer science),2
redes neurais,2
système intelligent,2
langages de programmation,2
films,2
feminist theory,2
mental health services,2
reconhecimento de padroes,2
statistical models,2
psychiatry,2
pop (computer program language,2
complexité de calcul (informatique),2
wissenspsychologie,2
qualitative methode,2
metamathematics,2
artificialintelligence,2
selbst organisierendes system,2
authoring programs,2
jeopardy! (television program),2
russian language,2
intelligence levels,2
teenage boys,2
языкознание,2
problemes et exercices,2
traitement de texte,2
études diverses,2
school stories,2
technology & engineering / electronics / general,2
security,2
contracts,2
hydrology,2
graphic arts,2
business ethics,2
princesses,2
77.31 cognition,2
organisation,2
operative surgical procedures,2
united states. army. special forces,2
resolution de probleme,2
insurance,2
wap (protocole de reseaux d'ordinateurs),2
teleoperators,2
differential diagnosis,2
automates mathématiques,2
skilled labor,2
hydrodynamics,2
teenagers,2
computational mathematics and numerical analysis,2
gedistribueerde gegevensverwerking,2
lexicography,2
neurosciences informatiques,2
théorie de la décision bayésienne,2
optical character recognition devices,2
robótica,2
mesterséges intelligencia,2
théorèmes,2
démonstration automatique,2
medical / hospital administration & care,2
mines,2
zeitliches datenbanksystem,2
behavior and behavior mechanisms,2
vergelijkende psychologie,2
driver assistance systems,2
ultrasonic testing,2
owl,2
organization and data processing,2
wetenschapsdynamica,2
wetenschapssociologie,2
организация и обработка данных,2
library applications,2
5758,2
5482,2
ethik,2
career & trade -> engineering -> software engineering,2
career & trade -> computer science -> hardware,2
sci14029,2
digital filters (mathematics),2
classified defense information,2
patent laws and legislation,2
copyright,2
children,2
dokumentanalyse,2
textverstehendes system,2
architectural drawing,2
finance/investment/banking,2
sci13022,2
history of computing,2
prognose,2
revolutions,2
supernatural,2
belletristische darstellung,2
language disorders,2
droit,2
materials management,2
internet en éducation,2
recursive functions,2
changement organisationnel,2
spatial systems,2
innovation/technology management,2
locomotion,2
airlines,2
capital market,2
disabled persons,2
wildlife conservation,2
computer system implementation,2
large scale systems,2
survival stories,2
social themes,2
dispute resolution (law),2
television programs,2
natural science disciplines,2
disciplines and occupations,2
sciences physiques,2
villes,2
computacao (aspectos socio-economicos e politicos),2
business & economics / knowledge capital,2
business & economics / industries / computer industry,2
haptic devices,2
wissensreprasentation,2
representation des connaissances,2
social conditions,2
critical thinking,2
programming - systems analysis & design,2
technology / industrial health & safety,2
entwurf,2
science-fiction,2
computers / computer simulation,2
labor market,2
political science / labor & industrial relations,2
organization & administration,2
kennistheorie,2
data base management,2
library information networks,2
théorie de l'information,2
geophysics,2
traduction automatique,2
action theory,2
automatic abstracting,2
produktionsregelsystem,2
globalization,2
loneliness,2
kunst,2
chemical process control,2
vertus,2
social,2
virtue,2
субъектология,2
information services industry,2
subjectology,2
vision artificielle (robotique),2
reorganization,2
categorization (psychology),2
neurological,2
ergonomie,2
well-being,2
otter (computer file),2
electronic news gathering,2
multimedia data mining,2
2020-,2
grief,2
durabilité de l'environnement,2
arithmetic,2
computers and people with disabilities,2
gesprochene sprache,2
automatische spracherkennung,2
gleichungstheorie,2
supervisory control systems,2
motion control devices,2
the computing profession,2
universal,2
universal algebra,2
buddhism and science,2
journalisme,2
blockchain,2
circuits and systems,2
textile industry,2
textile fabrics,2
08.36 philosophical anthropology,2
computer-assisted surgery,2
astrophysics,2
electromagnetism,2
computerunterstütztes verfahren,2
information storage and retrieval systems (law),2
but in this section,2
roland (fictitious character : king),2
cadses (computer programs),2
brain diseases,2
search engines,2
moteurs de recherche,2
dialog (information retrieval system),2
mesterseges intelligencia,2
printed circuits,2
systeme expert,2
artificial intelligence--data processing,2
fiction / action & adventure,2
chatgpt,2
biolinguistics,2
nonparametric statistics,2
bedrohung,2
nanotechnologie,2
adventure fiction,2
pharmaceutical technology,2
molecular pharmacology,2
pharmaceutical chemistry,2
telescopes,2
vax/vms,2
systems analysis,2
sci21017,2
sci18008,2
remotely piloted,2
data recovery (computer science),2
media management,2
sailing,2
suspense fiction,2
japan),2
nyt:mass_market_paperback=2011-07-30,2
miscellanea,2
theorie de la connaissance,2
prize:nebula,2
zoekstrategieën,2
connexionisme,2
dynamical systems and ergodic theory,2
editing,2
neue medien,2
questions & answers,2
analyse du discours,2
discrete groups,2
digital watermarking,2
high tech and hard science fiction,2
machine-tools,2
006.3/1,2
intelligent personal assistants (computer software),2
образование,2
opl (computer program language),2
relaxation methods (mathematics),2
artificial intelligence industry,2
circuits,2
