Title,Author(s),Publish Year,Subjects
"Gödel, Escher, Bach",Douglas R. Hofstadter,1979,"Logics, Teoria Do Conhecimento, Artificial intelligence, Metamathematics, Symmetry, Mathematics, Open Library Staff Picks, Symbolic and mathematical Logic, Long Now Manual for Civilization, Kognitiver Prozess, Metamathematik, Computer, Künstliche Intelligenz, Weltbild, Simetrâi, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, maths, music, complexity, Goedel, kurt, 1906-1978, Escher, m. c. (maurits cornelis), 1898-1970, Bach, johann sebastian, 1685-1750, Escher, M. C. (Maurits Cornelis), 1898-1972, Gödel, Kurt, Matematica, Logica, Inteligencia Artificial (Computacao), Simetría, Inteligencia artificial, Metamathematica, Mathématiques, Symétrie, Intelligence artificielle, Philosophy, Bach, johann sebastian , 1685-1750, Escher, m. c. (maurits cornelis) , 1898-1972, Qa9.8 .h63 1999"
Neural Information Processing,"Long Cheng, Andrew Chi Sing Leung, Seiichi Ozawa",2018,"Neural networks (computer science), Artificial intelligence, Neural computers, Pattern recognition systems, Data mining"
Transactions on Intelligent Welding Manufacturing,"Shanben Chen, Yuming Zhang, Zhili Feng",2017,"Welding, automation, Welding, Artificial intelligence, Production engineering, Robotics"
Computational Intelligence,Kurosh Madani,2011,"Engineering, Computational intelligence, Artificial intelligence, Artificial Intelligence (incl. Robotics), Fuzzy systems"
The Emperor's New Mind,Roger Penrose,1989,"Computers, Natuurwetenschappen, Thinking, Science, Philosophy, Thought and thinking, Kunstmatige intelligentie, Sciences, Denken, Artificial Intelligence, Physique, Mathématiques, Pensée, Ordinateurs, Filosofie, Physics, Philosophie, Intelligence artificielle, Intellect, Physics, philosophy, Science, philosophy, Artificial Intelligence - General, Philosophy Of Science, Science / Mathematics, Psychology & Counseling / Cognitive, Audio Adult: Other, Unabridged Audio - Misc.Nonfiction, Discursos, ensayos, conferencias, Inteligencia artificial, Fi sica, Espacio y tiempo, Pensamiento, Filosofía, Física matématica, Ciencia, Computers, social aspects, Physics, popular works, Física, Computadoras"
Advances in Swarm Intelligence,Ying Tan,2012,"Data Mining and Knowledge Discovery, Computer networks, Algorithm Analysis and Problem Complexity, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Data mining, Computation by Abstract Devices, Computer software, Artificial intelligence, Computer science, Computational intelligence, Electronic data processing, Computational complexity, Numeric Computing, Discrete Mathematics in Computer Science, Computer Communication Networks"
Demon Seed,Dean Koontz,1973,"OverDrive, Fiction, Horror, Accessible book, Protected DAISY, Artificial intelligence, Fiction, horror, Fiction, thrillers, technological, Fiction, mystery & detective, general"
Recent Advances in Computational Optimization,Stefka Fidanova,2013,"Engineering, Computational intelligence, Artificial intelligence, Artificial Intelligence (incl. Robotics), Mathematical optimization"
Game Ai Pro 360,Steve Rabin,2019,"Artificial intelligence, Computer games, programming, Computer games, design, Video game characters, Computer games, Programming, Computer animation, Video games, Design, Jeux d'ordinateur, Programmation, Animation par ordinateur, Jeux vidéo, Conception, COMPUTERS / General, COMPUTERS / Computer Graphics / Game Programming & Design, Software architecture, Video Games, Architecture logicielle, Artificial Intelligence, Intelligence artificielle, COMPUTERS, General, Computer Graphics, Game Programming & Design, Authorship, Personnages de jeux vidéo"
Klara and the Sun,Kazuo Ishiguro,2019,"Fiction, science fiction, general, speculative fiction, nyt:combined-print-and-e-book-fiction=2021-03-21, New York Times bestseller, Fiction, dystopian, British and irish fiction (fictional works by one author), The Future, Fiction, Artificial intelligence, Robots, Romance fiction, Friendship, Love, Paid companions (Household employees), Intelligence artificielle, Romans, nouvelles, Amitié, Literary, Electronic books"
Philosophical Perspectives,James E. Tomberlin,1987,"Collected works, Theory of Knowledge, Philosophy, Intentionality (Philosophy), Philosophy of mind, Act (Philosophy), Artificial intelligence, Connectionism, Psychology and philosophy, Filosofie van de geest, Kunstmatige intelligentie, Modern Ethics, Morale, 08.38 ethics, Ethiek"
Advances in Knowledge Discovery and Management,Fabrice Guillet,2011,"Engineering, Computational intelligence, Artificial intelligence, Artificial Intelligence (incl. Robotics), Data mining, Knowledge management, Information technology, Database Management, Data Mining, Computers, Information Management, Business & Economics, Intelligence (AI) & Semantics"
QualityLand,Marc-Uwe Kling,2017,"Science fiction, humorous, dystopian, satire, Artificial intelligence, Robots, politics, Fiction, science fiction, humorous, Fiction, dystopian, Fiction, satire, Fiction, science fiction, cyberpunk"
Neural Information Processing,Tingwen Huang,2012,"Pattern perception, Image Processing and Computer Vision, Data Mining and Knowledge Discovery, Optical pattern recognition, Simulation and Modeling, Computer vision, Computer simulation, Computation by Abstract Devices, Computer science, Data mining, Artificial intelligence, Artificial Intelligence (incl. Robotics), Neural networks (computer science), Neural computers"
Make,Mike Senese,2017,Artificial intelligence
The Memory of Earth,Orson Scott Card,1992,"Nafai (Fictitious character), Fiction, Life on other planets, artificial intelligence, ai, oversoul, Fiction, fantasy, epic"
Natural Language Processing and Information Systems,Elisabeth Métais,2005,"Translators (Computer programs), Data Mining and Knowledge Discovery, Information organization, Information storage and retrieval systems, Language Translation and Linguistics, Information retrieval, Computer Science, general, Computer science, Data mining, Artificial intelligence, Artificial Intelligence (incl. Robotics), Natural language processing (computer science), Human-computer interaction, Computer sound processing"
Image Analysis and Recognition,Aurélio Campilho,2004,"Pattern perception, Image Processing and Computer Vision, Computer graphics, Optical pattern recognition, Algorithm Analysis and Problem Complexity, Computer vision, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Computer software, Artificial intelligence, Computer science, Image processing, Pattern recognition systems, Biometry, Computer-assisted instruction, Image processing, digital techniques, Biometrics"
Business Information Systems Workshops,Witold Abramowicz,2009,"Economics/Management Science, Information systems, Economics, Computer Appl. in Administrative Data Processing, Business Information Systems, Management information systems, Information Systems Applications (incl. Internet), Artificial intelligence, Artificial Intelligence (incl. Robotics), Information storage and retrieval systems, Business, E-Commerce/e-business"
"Knowledge Discovery, Knowledge Engineering and Knowledge Management",Ana Fred,2011,"Data Mining and Knowledge Discovery, Database management, Information storage and retrieval systems, Information organization, Information retrieval, Computer science, Data mining, Artificial intelligence, Artificial Intelligence (incl. Robotics), Knowledge management, Expert systems (computer science), Computer software, development"
Ambient Assisted Living,Reiner Wichert,2011,"Aging, Economics, Research, Engineering, Geriatrics, Data processing, Biomedical engineering, Social sciences, Nursing homes, Artificial intelligence, Social sciences, data processing, Technological innovations, Economics, moral and ethical aspects, Housing"
Artificial Intelligence for Knowledge Management,"Eunika Mercier-Laurent, Danielle Boulanger",2014,"Artificial intelligence, Knowledge management, Artificial Intelligence (incl. Robotics), Computer science, Congresses, Information systems, Management information systems, Information Systems and Communication Service"
Genetic and Evolutionary Computing,"Jeng-Shyang Pan, Jerry Chun-Wei Lin, Chia-Hung Wang, Xin Hua Jiang",2013,"Artificial intelligence, Computational intelligence, Genetic algorithms, Parallel processing (electronic computers), Genetics, programmed instruction, Evolutionary computation, Evolutionary programming (computer science)"
Advances in Computational Intelligence,Ignacio Rojas,2013,"Pattern perception, Computational Biology/Bioinformatics, Data Mining and Knowledge Discovery, Models and Principles, Optical pattern recognition, Bioinformatics, Computer science, Data mining, Artificial intelligence, Artificial Intelligence (incl. Robotics), Computational intelligence, Neural networks (computer science)"
Pattern Recognition,"Jesús Ariel Carrasco-Ochoa, Jose Francisco Martinez-Trinidad, Jose Arturo Olvera López",2012,"Pattern recognition systems, Computer vision, Artificial Intelligence (incl. Robotics), Pattern perception, Computer science, Artificial intelligence, Optical pattern recognition, Image Processing and Computer Vision, Computer simulation, Computer graphics"
The Long Cosmos,"Terry Pratchett, Stephen Baxter, Gabriel Dols Gallardo",2013,"Fiction, Science Fiction, Fiction, science fiction, general, Space flight, Artificial intelligence, Space and time, Fiction, science fiction, space opera"
Computational Logistics,"Francesco Corman, Stefan Voß, Rudy R. Negenborn",2013,"Business logistics, Information technology, Information resources management, Logistics, Artificial Intelligence (incl. Robotics), Software engineering, Information Systems Applications (incl. Internet), Computer science, Computer software, Artificial intelligence, Computer simulation, Information systems, Algorithm Analysis and Problem Complexity, Simulation and Modeling, Computer Appl. in Administrative Data Processing"
Natural Language Processing and Chinese Computing,"Juanzi Li, Heng Ji, Dongyan Zhao, Yansong Feng",2013,"Natural language processing (computer science), Computational linguistics, Chinese language, data processing, Artificial intelligence"
"Information and Communication Technologies in Education, Research, and Industrial Applications","Vadim Ermolayev, Heinrich C. Mayr, Mykola Nikitchenko",2013,"Information technology, Educational technology, Communication and technology, Education, Congresses, Data processing, Computer science, Software engineering, Logic design, Artificial intelligence, Computing Methodologies, Educational Technology, Teaching, Knowledge Management"
Great sky river,Gregory Benford,1984,"Artificial intelligence, Fiction, Black holes (Astronomy), Fiction, science fiction, general"
Slant,"Greg Bear, Christine Williams",1997,"Artificial intelligence, Fiction, Science Fiction, Twenty-first century, Fiction, science fiction, general, Fiction, suspense, Fiction, technological, Fiction, thrillers, suspense, Fiction, thrillers, technological"
Metamagical Themas,Douglas R. Hofstadter,1985,"Intellect, Self (Philosophy), Science, Philosophy, Metamathematics, Amusements, Artificial intelligence, Artifical intelligence, Intellect., Self, Esprit, Creativity, Sciences, Musicologie, Mathematics, Mental Processes, Moi (Philosophie), Künstliche Intelligenz, Modèles mathématiques, Philosophie, Créativité, Esthétique, Recherche, Cognition, Notatie, Wissenschaftsphilosophie, Jeux, Théorie des, Mathématiques, Verstand, Denken, Waarneming, Kunstmatige intelligentie, Intelligence artificielle, Aufsatzsammlung, Creative ability, Ciencia Da Computacao Ou Informatica, Science, philosophy, Poetry (poetic works by one author), Science/Mathematics"
Frankissstein,Jeanette Winterson,2019,"New York Times reviewed, Fiction, women, Fiction, political, Fiction, romance, historical, general, Fiction, romance, science fiction, Fiction, gothic, Fiction, science fiction, general, Fiction, romance, historical, Transgender people, Fiction, Artificial intelligence, Sex dolls, Cryonics"
Computer Vision -- ECCV 2014,"David Fleet, Tomas Pajdla, Bernt Schiele, Tinne Tuytelaars",2014,"Computer vision, Computer graphics, Artificial Intelligence (incl. Robotics), Pattern perception, Computer science, Artificial intelligence, Optical pattern recognition, Image Processing and Computer Vision"
"Simulation and Modeling Methodologies, Technologies and Applications","Mohammad S. Obaidat, Tuncer Ören, Floriano De Rango",2013,"Computer simulation, Mathematical models, Computational intelligence, Artificial intelligence, Engineering"
Enterprise Information Systems,"Slimane Hammoudi, Leszek Maciaszek, Ernest Teniente, Olivier Camp, José Cordeiro",2008,"Management information systems, Software engineering, User interfaces (computer systems), Artificial intelligence, Systems engineering, Information display systems"
"Distributed, Ambient, and Pervasive Interactions",Norbert Streitz,2013,"Models and Principles, Computer Applications, Information organization, Information storage and retrieval systems, User Interfaces and Human Computer Interaction, Information retrieval, Computer science, Media Design, Education, Computers and Education, User interfaces (computer systems), Human-computer interaction, Ubiquitous computing, Computer networks, Artificial intelligence, Information theory, Expert systems (computer science), Information technology, Information Systems Applications (incl. Internet), Computers and Society"
Model And Data Engineering,Ladjel Bellatreche,2011,"Computer simulation, Computer science, Software engineering, Database management, Information storage and retrieval systems, Computer software, Knowledge management, Computer architecture, Information retrieval, Information organization, Information Systems Applications (incl. Internet), Artificial Intelligence (incl. Robotics), Computer Communication Networks, Artificial intelligence"
Artificial general intelligence,"Ben Goertzel, Cassio Pennachin",2007,"Mathematical models, Cognitive science, Computer simulation, Artificial intelligence, Intellect, Software engineering, Information Systems Applications (incl. Internet), Pattern perception, Artificial Intelligence (incl. Robotics), Computer science, Computer software, Optical pattern recognition, Mathematical Logic and Formal Languages, Algorithm Analysis and Problem Complexity"
Artificial Intelligence Applications and Innovations,Lazaros Iliadis,2009,"Pattern perception, Image Processing and Computer Vision, Data Mining and Knowledge Discovery, Optical pattern recognition, Computer vision, Information Systems Applications (incl. Internet), Computer science, Data mining, Education, Computers and Education, Artificial intelligence, Artificial Intelligence (incl. Robotics)"
The Windup Girl,Paolo Bacigalupi,2009,"Bioterrorism, Bioterrorisme, Fiction, Dystopian, Science Fiction, Fiction, thrillers, general, award:nebula_award=novel, Hugo Award Winner, award:hugo_award=2010, award:hugo_award=novel, Long Now Manual for Civilization, Fiction, science fiction, general, Terrorism, fiction, Fiction, general, Romans, nouvelles, Aspect social, Terrorism, Artificial intelligence, Fiction, science fiction, steampunk, Gene Hacking, Science fiction & fantasy"
Earthborn,Orson Scott Card,1995,"Fiction, fantasy, epic, Life on other planets, Fiction, Artificial intelligence, New York Times reviewed"
MILA 2.0,Debra Driza,2013,"Science fiction, Individuality, Identity (Philosophical concept), Juvenile fiction, Robots, Identity, Fiction, Teenage girls, Androids, Artificial intelligence, Hiding places, Enemies, Children's fiction, Robots, fiction, Identity, fiction, Mystery and detective stories"
Galatea 2.2,Richard Powers,1995,"English literature, Study and teaching, Fiction, Artificial intelligence, Novelists, American Novelists, Fiction, general, New York Times reviewed, Fiction, mystery & detective, general, American literature"
Zone Null,Herbert W. Franke,1970,"Fiction, dystopian, Explorers, fiction, Fiction, science fiction, apocalyptic & post-apocalyptic, Artificial intelligence, Fiction, science fiction, general"
Human Behavior Understanding,Albert Ali Salah,2011,"Biometric identification, Pattern perception, Image Processing and Computer Vision, Optical pattern recognition, User Interfaces and Human Computer Interaction, Computer Imaging, Vision, Pattern Recognition and Graphics, Computer vision, Computer science, Biometrics, Artificial intelligence, Artificial Intelligence (incl. Robotics), Human behavior, mathematical models, Human behavior, Comprehension, Information Systems Applications (incl. Internet)"
Advances in Computing and Data Sciences,"Mayank Singh, Gupta, P. K., Vipin Tyagi, Jan Flusser, Tuncer Ören, Gianluca Valentino",2017,"Computer science, Artificial intelligence, Computer networks"
Advances in Information Retrieval,"Nicola Ferro, Fabio Crestani, Marie-Francine Moens, Josiane Mothe, Fabrizio Silvestri, Giorgio Maria Di Nunzio, Claudia Hauff, Gianmaria Silvello",2003,"Information retrieval, Information storage and retrieval systems, Database management, Information technology, Artificial intelligence, Data mining, User interfaces (computer systems)"
Pattern Recognition Applications and Methods,"Ana Fred, Maria De Marsico, Antoine Tabbone",2014,"Pattern perception, Congresses, Pattern recognition systems, Artificial intelligence, Computer vision, Imaging systems & technology, COMPUTERS, General"
Advances in Data Mining. Applications and Theoretical Aspects,Petra Perner,2009,"Image Processing and Computer Vision, Data Mining and Knowledge Discovery, Database management, Multimedia systems, Computer vision, Information Systems Applications (incl. Internet), Computer science, Data mining, Artificial intelligence, Artificial Intelligence (incl. Robotics)"
Advances in artificial intelligence,Canadian Society for Computational Studies of Intelligence. Conference,1996,"Congresses, Artificial intelligence, Machine learning, Computer science"
Artificial intelligence,"George F. Luger, LUGER, Stubblefield, William A. Stubblefield",1992,"Artificial intelligence, Knowledge representation (Information theory), LISP (Computer program language), Problem selving, Problem solving, Prolog (Computer program language), Компьютеры, Кибернетика: Искусственный интеллект, Computers, Cybernetics: Artificial Intelligence, High level programming languages, Computer Bks - General Information, Computer Books: General, Computers - General Information, LISP (Langage de programmation), Kennisrepresentatie, Représentation des connaissances, Intelligence artificielle, Prolog (langage de programmation), Résolution de problème, Kunstmatige intelligentie, LISP, Probleemoplossing, PROLOG, Künstliche Intelligenz, Q335 .l84 2009, 006.3"
Advances in Knowledge Discovery and Data Mining,"Dinh Phung, Vincent S. Tseng, Geoffrey I. Webb, Bao Ho, Mohadeseh Ganji, Lida Rashidi",2014,"Data mining, Information retrieval, Information organization, Artificial Intelligence (incl. Robotics), Computer science, Information storage and retrieval systems, Artificial intelligence, Data Mining and Knowledge Discovery"
Ancillary Justice,Ann Leckie,2013,"Science Fiction, Fiction, Quests (Expeditions), Ebook, Space Opera, Revenge, Adult, General, Adventure, Fiction, science fiction, general, award:nebula_award=novel, Artificial intelligence, Large type books, Hugo Award Winner, award:hugo_award=2014, award:hugo_award=novel, Life on other planets, Space flight, Quête, Romans, nouvelles, Vengeance, Vie extraterrestre, Vol spatial"
Engineering Psychology and Cognitive Ergonomics,Don Harris,2007,"Artificial Intelligence (incl. Robotics), Computer science, Artificial intelligence, User Interfaces and Human Computer Interaction, Computers and Society, Models and Principles"
The Long Utopia,"Terry Pratchett, Stephen Baxter",2015,"Fiction, Science Fiction, Long Earth (Imaginary place), Fiction, science fiction, general, Fiction, science fiction, action & adventure, Space flight, Artificial intelligence, Space and time, Natural disasters, Trolls, Inventors, Humorous stories"
Structured Object-Oriented Formal Language and Method,"Shaoying Liu, Zhenhua Duan",2013,"Computer science, Object-oriented programming (computer science), Software engineering, Algorithms, Logic, Artificial intelligence"
New Trends in Medical and Service Robots,"Hannes Bleuler, Mohamed Bouri, Francesco Mondada, Doina Pisla, Aleksandar Rodić, Patrick Helmer",2013,"Robotics in medicine, Robotics, Artificial intelligence, Medical applications, User interfaces (Computer systems), Automation, Biomedical engineering, Engineering"
Health Information Science,"Xiaoxia Yin, James Geller, Ye Li, Rui Zhou, Hua Wang, Yanchun Zhang",2014,"Medical informatics, Medical records, Medicine, data processing, Information science, Information retrieval, Information organization, Artificial Intelligence (incl. Robotics), Information Systems Applications (incl. Internet), Computer science, Data processing, Data mining, Information storage and retrieval systems, Artificial intelligence, Data Mining and Knowledge Discovery"
Statistical Language and Speech Processing,"Carlos Martín-Vide, Matthew Purver, Senja Pollak",2013,"Computational linguistics, Speech processing systems, Mathematical linguistics, Artificial intelligence, Linguistics, Automatic speech recognition, Pattern perception, Artificial Intelligence (incl. Robotics), Computer science, Data mining, Optical pattern recognition, Data Mining and Knowledge Discovery"
Advanced Computing in Industrial Mathematics,"Krassimir Georgiev, Michail Todorov, Ivan Georgiev",2017,"Applied, Mathematical modelling, Science, Artificial intelligence, Computers, Congresses, Computer science, Intelligence (AI) & Semantics, Mathematics, Chemistry, Physical & Theoretical, Quantum & theoretical chemistry, Industrial management, mathematical models, Intelligent control systems, Engineering mathematics, Computer science, mathematics"
Information Systems Design and Intelligent Applications,"Suresh Chandra Satapathy, Jyotsna Kumar Mandal, Siba K. Udgata, Vikrant Bhateja",2015,"System design, Artificial intelligence"
Machine Learning Paradigms,"Aristomenis S. Lampropoulos, George A. Tsihrintzis",2015,"Artificial intelligence, Computational intelligence, Machine learning, Immune system, Data mining"
Informatics In Control Automation And Robotics,Oleg Gusikhin,2012,"Control theory, Robotics, Automation, Automatic control, Artificial intelligence, Engineering"
Machine Learning and Data Mining in Pattern Recognition,"Petra Perner, Atsushi Imiya",2003,"Computer vision, Computer science, Database management, Optical pattern recognition, Information storage and retrieval systems, Artificial intelligence, Pattern perception, Machine learning, Data mining, Image processing, Pattern recognition systems, Congresses"
Engineering Applications of Neural Networks,"Chrisina Jayne, Shigang Yue, Lazaros S. Iliadis",2012,"Neural networks (Computer science), Congresses, Neural networks (computer science), Computers, Systems engineering, Computational intelligence, Artificial Intelligence (incl. Robotics), Pattern perception, Computer science, Data mining, Artificial intelligence, Optical pattern recognition, Engineering, Data Mining and Knowledge Discovery, Computer Applications"
Shade's children,Garth Nix,1997,"Apocalyptic fiction, Young adult fiction, Science fiction, Artificial intelligence, Children's fiction"
Singularity sky,Charles Stross,2003,"Space colonies, Fiction, Fiction, general, Fiction, science fiction, general, Artificial intelligence, Twenty-first century"
Tides of Light,Gregory Benford,1989,"Artificial intelligence, Fiction, Human-alien encounters, Fiction, general"
The Perfect Wife,J. P. Delaney,2019,"Androids, Fiction, Robotics, Married women, Deception, FICTION / Suspense, FICTION / Literary, FICTION / Psychological, Missing persons, Robots, Husbands, Wives, Emotions, Artificial intelligence, New business enterprises, Secrecy, Fiction, suspense, Fiction, thrillers, psychological, Fiction, science fiction, genetic engineering, Fiction, thrillers, suspense, Fiction, psychological"
First meetings,Orson Scott Card,2002,"Ender Wiggin (Fictitious character), Fiction, Children's stories, American, Science fiction, American Science fiction, Child soldiers, Artificial intelligence, Children's fiction, Fiction, short stories (single author), Fiction, science fiction, general"
Programming in Prolog,"William F. Clocksin, Christopher S. Mellish",1981,"Prolog (Computer program language), Computer science, Artificial intelligence, PROLOG (Programmiersprache), Prolog (langage de programmation), Programmation PROLOG, PROLOG, Logic design, Data structures (Computer science)"
Modeling Decisions for Artificial Intelligence,Vicenç Torra,2012,"Pattern perception, Data Mining and Knowledge Discovery, Systems and Data Security, Information organization, Optical pattern recognition, Electronic data processing, Data protection, Information retrieval, Computer science, Information storage and retrieval systems, Data mining, Numeric Computing, Artificial intelligence, Artificial Intelligence (incl. Robotics), Congresses, Mathematical models, Decision making, mathematical models, Computer simulation, Decision making"
Shadow Tyrants,"Clive Cussler, Boyd Morrison, Boyd Morrison",2018,"Fiction, thrillers, Fiction, action & adventure, nyt:hardcover-fiction=2018-09-30, New York Times bestseller, Ship captains, Juan Cabrillo (Fictitious character), Fiction, Secret societies, Artificial intelligence, nyt:mass-market-monthly=2019-10-13, Fiction, thrillers, general"
Agent-Mediated Electronic Commerce. Designing Trading Strategies and Mechanisms for Electronic Markets,Esther David,2011,"Information systems, E-Commerce/e-business, Business Information Systems, Computer Appl. in Administrative Data Processing, Computer science, Management information systems, Information Systems Applications (incl. Internet), Artificial intelligence, Artificial Intelligence (incl. Robotics), Electronic commerce, Electronic trading of securities, Congresses, Multiagent systems, Information resources management"
"Swarm, Evolutionary, and Memetic Computing",Bijaya Ketan Panigrahi,2010,"Pattern perception, Programming Techniques, Optical pattern recognition, Computer networks, Algorithm Analysis and Problem Complexity, Computation by Abstract Devices, Artificial Intelligence (incl. Robotics), Computer software, Artificial intelligence, Computer science, Evolutionary computation, Computational intelligence, Cellular automata, Software engineering, Evolutionary programming (computer science), Computer Communication Networks"
Agents and Artificial Intelligence,"Jaap van den Herik, Ana Paula Rocha",2015,"Artificial intelligence, Intelligent agents (computer software)"
"Brainlesion : Glioma, Multiple Sclerosis, Stroke and Traumatic Brain Injuries","Alessandro Crimi, Spyridon Bakas",2016,"Artificial intelligence, Human-computer interaction, Computer graphics, Computer-assisted instruction"
